Subject,Title,Credits
BIOL 1111,Introduction to Organismal Biology,4
MATH 1041,Calculus I,4
SCTC 1013,Elements of Data Science for the Physical and Life Sciences,3
BIOL 1112,"Introduction to Biomolecules, Cells and Genomes",4
CHEM 1031,General Chemistry I,3
CHEM 1033,General Chemistry Laboratory I,1
MATH 1042,Calculus II,4
MATH 1044,Introduction to Probability and Statistics for the Life Sciences,4
BIOL 2227,Principles of Ecology,3
BIOL 3101,Evolution,3
CHEM 1032,General Chemistry II,3
CHEM 1034,General Chemistry Laboratory II,1
BIOL 2207,Genetics,3
BIOL 2297,Research Techniques in Genetics,3
CHEM 2201,Organic Chemistry I,3
CHEM 2203,Organic Chemistry Laboratory I,1
BIOL 3204,Cell Structure and Function,4
CHEM 2202,Organic Cehmistry II,3
CHEM 2204,Organic Chemistry Laboratory II,1
PHYS 1021,Introduction to General Physics I,4
PHYS 1061,Elementary Classical Physics I,4
PHYS 2021,General Physics I,4
BIOL 3396,Scientific Writing for Biology: The Art of Communicating,3
BIOL 3324,Molecular Biology,3
BIOL 4375,General Biochemistry,3
PHYS 1022,Introduction to General Physics II,4
PHYS 1062,Elementary Classical Physics II,4
PHYS 2022,General Physics II,4
